zone,model,fold_id,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy
DK2,persistence,16.0,2022-02-01 00:00:00,2024-04-05 00:00:00,2024-04-05 01:00:00,2024-04-12 00:00:00,40.912440476190476,47.282374251733096,9432.757219937926,77.24550898203593
DK2,persistence,17.0,2022-02-01 00:00:00,2024-04-12 00:00:00,2024-04-12 01:00:00,2024-04-19 00:00:00,41.998154761904765,49.7795698375778,661.9946895079289,77.24550898203593
DK2,persistence,18.0,2022-02-01 00:00:00,2024-04-19 00:00:00,2024-04-19 01:00:00,2024-04-26 00:00:00,21.89625,29.77610028553581,33.7443297483385,86.82634730538922
DK2,persistence,19.0,2022-02-01 00:00:00,2024-04-26 00:00:00,2024-04-26 01:00:00,2024-05-03 00:00:00,40.3210119047619,48.57126255136192,6657.681014759466,68.8622754491018
DK2,persistence,20.0,2022-02-01 00:00:00,2024-05-03 00:00:00,2024-05-03 01:00:00,2024-05-10 00:00:00,27.640000000000004,36.50650008984049,4384.370665110788,74.25149700598801
DK2,persistence,21.0,2022-02-01 00:00:00,2024-05-10 00:00:00,2024-05-10 01:00:00,2024-05-17 00:00:00,20.429523809523808,30.635966491317735,870.9446335623444,82.63473053892216
DK2,persistence,22.0,2022-02-01 00:00:00,2024-05-17 00:00:00,2024-05-17 01:00:00,2024-05-24 00:00:00,45.235297619047614,55.44809561867833,776.756987973683,74.8502994011976
DK2,persistence,23.0,2022-02-01 00:00:00,2024-05-24 00:00:00,2024-05-24 01:00:00,2024-05-31 00:00:00,28.513333333333332,39.44335585911234,1530.9365310504586,80.83832335329342
DK2,persistence,24.0,2022-02-01 00:00:00,2024-05-31 00:00:00,2024-05-31 01:00:00,2024-06-01 00:00:00,35.32708333333333,43.177240870239345,539.4979854213733,73.91304347826086
DK2,persistence,25.0,2022-02-01 00:00:00,2024-06-01 00:00:00,2024-09-01 00:00:00,2024-09-06 00:00:00,57.06057851239669,78.87861913217262,21106.036798732275,78.33333333333333
DK2,persistence,26.0,2022-02-01 00:00:00,2024-09-06 00:00:00,2024-09-06 01:00:00,2024-09-13 00:00:00,51.4745238095238,63.14049821062322,1154.4183800368103,75.44910179640718
DK2,persistence,27.0,2022-02-01 00:00:00,2024-09-13 00:00:00,2024-09-13 01:00:00,2024-09-20 00:00:00,32.81833333333334,45.25581990986668,342.67215521367285,82.63473053892216
DK2,persistence,28.0,2022-02-01 00:00:00,2024-09-20 00:00:00,2024-09-20 01:00:00,2024-09-27 00:00:00,38.252023809523806,52.34582444574506,1386.2440646818225,81.437125748503
DK2,persistence,29.0,2022-02-01 00:00:00,2024-09-27 00:00:00,2024-09-27 01:00:00,2024-10-04 00:00:00,34.72988095238096,43.668815627783324,1106.6285893988652,74.8502994011976
DK2,persistence,30.0,2022-02-01 00:00:00,2024-10-04 00:00:00,2024-10-04 01:00:00,2024-10-11 00:00:00,33.29083333333333,40.64597399965896,143.27418924300807,83.8323353293413
DK2,persistence,31.0,2022-02-01 00:00:00,2024-10-11 00:00:00,2024-10-11 01:00:00,2024-10-18 00:00:00,63.43803571428572,76.94322079036748,4353.543207001294,72.45508982035929
DK2,persistence,32.0,2022-02-01 00:00:00,2024-10-18 00:00:00,2024-10-18 01:00:00,2024-10-25 00:00:00,43.105178571428574,55.640709579407776,3922.4383306894156,77.84431137724552
DK2,persistence,33.0,2022-02-01 00:00:00,2024-10-25 00:00:00,2024-10-25 01:00:00,2024-10-31 00:00:00,40.17875,60.64385805210981,188.4730867311689,84.61538461538461
DK2,ridge,1.0,2022-02-01 00:00:00,2023-05-01 00:00:00,2023-08-01 00:00:00,2023-08-04 00:00:00,113.82996147463832,123.6829614185916,420.86523495736856,66.66666666666666
DK2,ridge,2.0,2022-02-01 00:00:00,2023-08-04 00:00:00,2023-08-04 01:00:00,2023-08-11 00:00:00,86.57768506597947,102.41234114997056,40415.4982433571,61.07784431137725
DK2,ridge,3.0,2022-02-01 00:00:00,2023-08-11 00:00:00,2023-08-11 01:00:00,2023-08-18 00:00:00,58.424684211808305,63.627638927989175,223.9327593755187,72.45508982035929
DK2,ridge,4.0,2022-02-01 00:00:00,2023-08-18 00:00:00,2023-08-18 01:00:00,2023-08-25 00:00:00,46.40050923832756,52.524585335013896,80.28477262993131,77.84431137724552
DK2,ridge,5.0,2022-02-01 00:00:00,2023-08-25 00:00:00,2023-08-25 01:00:00,2023-09-01 00:00:00,63.56773992929633,70.35931088564045,61.06306152056122,75.44910179640718
DK2,ridge,6.0,2022-02-01 00:00:00,2023-09-01 00:00:00,2023-09-01 01:00:00,2023-09-08 00:00:00,46.51732613062674,52.968630326043446,72.07112610205274,83.8323353293413
DK2,ridge,7.0,2022-02-01 00:00:00,2023-09-08 00:00:00,2023-09-08 01:00:00,2023-09-15 00:00:00,44.45718914025828,61.90873631421538,87.18769165750527,85.02994011976048
DK2,ridge,8.0,2022-02-01 00:00:00,2023-09-15 00:00:00,2023-09-15 01:00:00,2023-09-22 00:00:00,73.06773054202642,84.25794094610247,31467.519908666698,73.05389221556887
DK2,ridge,9.0,2022-02-01 00:00:00,2023-09-22 00:00:00,2023-09-22 01:00:00,2023-09-29 00:00:00,57.10657371701429,75.71491841620957,45290.07526028346,77.24550898203593
DK2,ridge,10.0,2022-02-01 00:00:00,2023-09-29 00:00:00,2023-09-29 01:00:00,2023-10-06 00:00:00,62.3009439179886,79.82886409110374,39317.77614735871,73.65269461077844
DK2,ridge,11.0,2022-02-01 00:00:00,2023-10-06 00:00:00,2023-10-06 01:00:00,2023-10-13 00:00:00,63.407884744904564,81.37266520058644,28162.549600212194,68.26347305389223
DK2,ridge,12.0,2022-02-01 00:00:00,2023-10-13 00:00:00,2023-10-13 01:00:00,2023-10-20 00:00:00,54.62980559662393,69.46604170521405,8326.136263233251,70.65868263473054
DK2,ridge,13.0,2022-02-01 00:00:00,2023-10-20 00:00:00,2023-10-20 01:00:00,2023-10-27 00:00:00,42.60066753977089,53.25168831579954,87.75956595796171,61.07784431137725
DK2,ridge,14.0,2022-02-01 00:00:00,2023-10-27 00:00:00,2023-10-27 01:00:00,2023-11-01 00:00:00,46.87815232397021,59.52050416695841,275.53444909362884,73.10924369747899
DK2,ridge,15.0,2022-02-01 00:00:00,2023-11-01 00:00:00,2024-04-01 00:00:00,2024-04-05 00:00:00,54.35210126995436,65.01450416610768,566.5164325382053,69.79166666666666
DK2,ridge,16.0,2022-02-01 00:00:00,2024-04-05 00:00:00,2024-04-05 01:00:00,2024-04-12 00:00:00,39.442023481286846,50.839242596994175,13482.077843687304,70.05988023952095
DK2,ridge,17.0,2022-02-01 00:00:00,2024-04-12 00:00:00,2024-04-12 01:00:00,2024-04-19 00:00:00,32.99315373733583,39.04259067278533,938.1632141869884,83.8323353293413
DK2,ridge,18.0,2022-02-01 00:00:00,2024-04-19 00:00:00,2024-04-19 01:00:00,2024-04-26 00:00:00,28.00516499990468,32.25197540102281,42.27087854871303,86.82634730538922
DK2,ridge,19.0,2022-02-01 00:00:00,2024-04-26 00:00:00,2024-04-26 01:00:00,2024-05-03 00:00:00,46.675782290792554,55.958397647480844,9522.074608620149,73.05389221556887
DK2,ridge,20.0,2022-02-01 00:00:00,2024-05-03 00:00:00,2024-05-03 01:00:00,2024-05-10 00:00:00,33.442095022599155,39.54005335687087,4446.373428820489,76.64670658682635
